2019-02-27 16:22:46 status unpacked libkmod2:amd64 22-1ubuntu4
2019-02-27 16:22:46 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu2
2019-02-27 16:22:46 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2019-02-27 16:22:46 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2019-02-27 16:22:46 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2019-02-27 16:22:46 install libmount1:amd64 <none> 2.27.1-6ubuntu3
2019-02-27 16:22:46 status half-installed libmount1:amd64 2.27.1-6ubuntu3
2019-02-27 16:22:46 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2019-02-27 16:22:46 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2019-02-27 16:22:46 install libncurses5:amd64 <none> 6.0+20160213-1ubuntu1
2019-02-27 16:22:46 status half-installed libncurses5:amd64 6.0+20160213-1ubuntu1
2019-02-27 16:22:46 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2019-02-27 16:22:46 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2019-02-27 16:22:46 install libncursesw5:amd64 <none> 6.0+20160213-1ubuntu1
2019-02-27 16:22:46 status half-installed libncursesw5:amd64 6.0+20160213-1ubuntu1
2019-02-27 16:22:46 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2019-02-27 16:22:46 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2019-02-27 16:22:46 install libpam-modules:amd64 <none> 1.1.8-3.2ubuntu2
2019-02-27 16:22:46 status half-installed libpam-modules:amd64 1.1.8-3.2ubuntu2
2019-02-27 16:22:46 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2019-02-27 16:22:46 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2019-02-27 16:22:46 install libpam-modules-bin:amd64 <none> 1.1.8-3.2ubuntu2
2019-02-27 16:22:46 status half-installed libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2019-02-27 16:22:46 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2019-02-27 16:22:46 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2019-02-27 16:22:46 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2019-02-27 16:22:46 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2019-02-27 16:22:46 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2019-02-27 16:22:46 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2019-02-27 16:22:46 install libpam0g:amd64 <none> 1.1.8-3.2ubuntu2
2019-02-27 16:22:46 status half-installed libpam0g:amd64 1.1.8-3.2ubuntu2
2019-02-27 16:22:46 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2019-02-27 16:22:46 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2019-02-27 16:22:46 install libpcre3:amd64 <none> 2:8.38-3.1
2019-02-27 16:22:46 status half-installed libpcre3:amd64 2:8.38-3.1
2019-02-27 16:22:46 status unpacked libpcre3:amd64 2:8.38-3.1
2019-02-27 16:22:46 status unpacked libpcre3:amd64 2:8.38-3.1
2019-02-27 16:22:46 install libprocps4:amd64 <none> 2:3.3.10-4ubuntu2
2019-02-27 16:22:46 status half-installed libprocps4:amd64 2:3.3.10-4ubuntu2
2019-02-27 16:22:46 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2019-02-27 16:22:46 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2019-02-27 16:22:46 install libseccomp2:amd64 <none> 2.2.3-3ubuntu3
2019-02-27 16:22:46 status half-installed libseccomp2:amd64 2.2.3-3ubuntu3
2019-02-27 16:22:46 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2019-02-27 16:22:46 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2019-02-27 16:22:46 install libselinux1:amd64 <none> 2.4-3build2
2019-02-27 16:22:46 status half-installed libselinux1:amd64 2.4-3build2
2019-02-27 16:22:46 status unpacked libselinux1:amd64 2.4-3build2
2019-02-27 16:22:46 status unpacked libselinux1:amd64 2.4-3build2
2019-02-27 16:22:46 install libsemanage-common:all <none> 2.3-1build3
2019-02-27 16:22:46 status half-installed libsemanage-common:all 2.3-1build3
2019-02-27 16:22:46 status unpacked libsemanage-common:all 2.3-1build3
2019-02-27 16:22:46 status unpacked libsemanage-common:all 2.3-1build3
2019-02-27 16:22:46 install libsemanage1:amd64 <none> 2.3-1build3
2019-02-27 16:22:46 status half-installed libsemanage1:amd64 2.3-1build3
2019-02-27 16:22:46 status unpacked libsemanage1:amd64 2.3-1build3
2019-02-27 16:22:46 status unpacked libsemanage1:amd64 2.3-1build3
2019-02-27 16:22:46 install libsepol1:amd64 <none> 2.4-2
2019-02-27 16:22:46 status half-installed libsepol1:amd64 2.4-2
2019-02-27 16:22:46 status unpacked libsepol1:amd64 2.4-2
2019-02-27 16:22:46 status unpacked libsepol1:amd64 2.4-2
2019-02-27 16:22:46 install libsmartcols1:amd64 <none> 2.27.1-6ubuntu3
2019-02-27 16:22:46 status half-installed libsmartcols1:amd64 2.27.1-6ubuntu3
2019-02-27 16:22:46 status unpacked libsmartcols1:amd64 2.27.1-6ubuntu3
2019-02-27 16:22:46 status unpacked libsmartcols1:amd64 2.27.1-6ubuntu3
2019-02-27 16:22:46 install libss2:amd64 <none> 1.42.13-1ubuntu1
2019-02-27 16:22:46 status half-installed libss2:amd64 1.42.13-1ubuntu1
2019-02-27 16:22:46 status unpacked libss2:amd64 1.42.13-1ubuntu1
2019-02-27 16:22:46 status unpacked libss2:amd64 1.42.13-1ubuntu1
2019-02-27 16:22:46 install libsystemd0:amd64 <none> 229-4ubuntu4
2019-02-27 16:22:46 status half-installed libsystemd0:amd64 229-4ubuntu4
2019-02-27 16:22:46 status unpacked libsystemd0:amd64 229-4ubuntu4
2019-02-27 16:22:46 status unpacked libsystemd0:amd64 229-4ubuntu4
2019-02-27 16:22:46 install libtinfo5:amd64 <none> 6.0+20160213-1ubuntu1
2019-02-27 16:22:46 status half-installed libtinfo5:amd64 6.0+20160213-1ubuntu1
2019-02-27 16:22:47 status unpacked libtinfo5:amd64 6.0+20160213-1ubuntu1
2019-02-27 16:22:47 status unpacked libtinfo5:amd64 6.0+20160213-1ubuntu1
2019-02-27 16:22:47 install libudev1:amd64 <none> 229-4ubuntu4
2019-02-27 16:22:47 status half-installed libudev1:amd64 229-4ubuntu4
2019-02-27 16:22:47 status unpacked libudev1:amd64 229-4ubuntu4
2019-02-27 16:22:47 status unpacked libudev1:amd64 229-4ubuntu4
2019-02-27 16:22:47 install libustr-1.0-1:amd64 <none> 1.0.4-5
2019-02-27 16:22:47 status half-installed libustr-1.0-1:amd64 1.0.4-5
2019-02-27 16:22:47 status unpacked libustr-1.0-1:amd64 1.0.4-5
2019-02-27 16:22:47 status unpacked libustr-1.0-1:amd64 1.0.4-5
2019-02-27 16:22:47 install libuuid1:amd64 <none> 2.27.1-6ubuntu3
2019-02-27 16:22:47 status half-installed libuuid1:amd64 2.27.1-6ubuntu3
2019-02-27 16:22:47 status unpacked libuuid1:amd64 2.27.1-6ubuntu3
2019-02-27 16:22:47 status unpacked libuuid1:amd64 2.27.1-6ubuntu3
2019-02-27 16:22:47 install locales:all <none> 2.23-0ubuntu3
2019-02-27 16:22:47 status half-installed locales:all 2.23-0ubuntu3
2019-02-27 16:22:47 status unpacked locales:all 2.23-0ubuntu3
2019-02-27 16:22:47 status unpacked locales:all 2.23-0ubuntu3
2019-02-27 16:22:47 install login:amd64 <none> 1:4.2-3.1ubuntu5
2019-02-27 16:22:47 status half-installed login:amd64 1:4.2-3.1ubuntu5
2019-02-27 16:22:47 status unpacked login:amd64 1:4.2-3.1ubuntu5
2019-02-27 16:22:47 status unpacked login:amd64 1:4.2-3.1ubuntu5
2019-02-27 16:22:47 install lsb-base:all <none> 9.20160110
2019-02-27 16:22:47 status half-installed lsb-base:all 9.20160110
2019-02-27 16:22:47 status unpacked lsb-base:all 9.20160110
2019-02-27 16:22:47 status unpacked lsb-base:all 9.20160110
